mbid,artist,bio,listeners,playcount,similar_artist
b4acaad3-fdec-48aa-b5b4-8df13361b003,So', Read more on Last.fm,886,9371,inflow
ee3f3f84-e95f-4381-83b7-8165c022d760,Gradur,"Wanani Gradi Mariadi (born November 28, 1990), better known by his stage name Gradur, is a French rapper of Congolese origin from Roubaix, Hauts-de-France. He first gained recognition from a series of freestyles called Sheguey. He started as part of the rap band 59. Read more on Last.fm",73719,1448120,Niska
8837b875-3689-4646-b3fd-d8b53815c7a8,Lil Uzi Vert,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. Read more on Last.fm",2694002,421039099,Playboi Carti
f1d07f2d-e148-4605-bee0-0c86359aeacc,Vaze Haze, Read more on Last.fm,96,389,Young Ree$E
2baf3276-ed6a-4349-8d2e-f4601e7b2167,Playboi Carti,"Jordan Terrell Carter (born September 13, 1995), known professionally as Playboi Carti, is an American artist from Atlanta, Georgia. Known for his eccentric vocal style and fashion, he is considered an influential figure in modern hip hop and a pioneer of the rage microgenre.

Carti began his musical journey in 2011 under the name Sir Cartier — a twist on his last name, but also a reflection of his growing interest in fashion and luxury brands. He changed his stage name to Playboi Carti in May 2013 and joined Awful Records. Read more on Last.fm",2438179,765040341,Ken Carson
ad53f799-95f5-4b54-9092-edab47290ada,Koncept Jack$on, Read more on Last.fm,4977,162239,Big Kahuna OG
1815dc2e-dfc2-4874-8876-f7f9e4af0753,Quentin40,"Rapper from Acilia

 Read more on Last.fm",13535,314194,Gianni Bismark
37259c7d-9b23-4db5-99c9-2b2fff23df28,220v,"Two artists/bands share the same name:

1. Psytrance duo from Brazil. The members are Eduardo Souza (also known as Tactical Strike) and Victor Leti (V-Storm).

Brazilian project 220V aka Victor Costa is one of the most promising new artists in the psytrance scene today. In less than 3 years, his tracks have been released across the globe on the foremost psy labels in the world ,such as Mind control records France (home of Talamasca), Phantasm records UK Read more on Last.fm",4019,30497,Krome Angels
c65e3fcc-5c6c-4237-a23d-5bccc75e8262,SCH,"There are multiple artists by the name of SCH.

1) Sch (from Schwarzer, his real family name) is a French rapper from Marseille, of German descent. He blew up in 2015, after releasing his debut mixtape A7, reaching 30'000 sales by the end of the year. His first studio album, Anarchie, was released in 2016. THe second one, Deo Favente, came out in 2017. In january 2018 he created his own label Maison Baron Rouge. Later in 2018 he released a third album JVLIVS. Read more on Last.fm",107796,15308659,Laylow
d0c4f2b5-3a9a-4edc-8dd5-b4425e15c137,Movimiento Original, Read more on Last.fm,50189,1301695,ChysteMc
76f96ddf-1fc5-4650-b686-5828bae65e82,Makro,"'makro' is a duo of Filipino-American cousins based in Memphis, TN - Eric Makapugay and Kristoffer Ruaro. Their sound is heavily influenced by R&B but overall incorporates all types of genres. 
Follow the band's journey on social media @makromusicofficial Read more on Last.fm",2853,34641,Grind
b3ea5e4e-5f59-4e13-a873-1dc1e4c9da58,Q052, Read more on Last.fm,416,2104,Anachnid
4d01d0b5-98e4-4fea-bf68-41123d27abbc,MYKKA, Read more on Last.fm,1498,3995,Andrea Mir
b3fb1f9c-c003-41b8-9835-c92727c42509,Zaidbreak, Read more on Last.fm,2292,14149,Swit Eme
6ed69aba-7216-4114-83e0-bfc2f6cb81a7,Dolla Dame, Read more on Last.fm,1622,8612,Yhung T.O.
346ff43a-1ce1-405c-8b87-c7ea5b59a6e5,Stupid F,"STUPID F is a estonian MC, who's respected for his lyrics, powerful voice and energetic live shows. Many think that he's one of the best MC's rappin' in estonian language. With DJ HASH they work as a duo named STUPID F & HASH (aka ELEMENT), that has gained a lot of respect from estonian hip-hop heads. In addition Stupid F is also a producer and has made music not only for himself, but also for MC's like RASSAKAS, VORR POKSJORR, MÓRE and others. He's also a member of DEF RÄÄDU MASSIVE and the lead singer of JAM SESSIONS.  Read more on Last.fm",797,10765,Põhjamaade Hirm
b0c79856-a849-470c-8bd2-3a247ce1e7f4,Makassy, Read more on Last.fm,11762,63029,T2R
59aa4ee5-8ea1-464a-a5ed-3ab92702f86a,Checkmate,"There are several artists and groups named Checkmate
(For the standalone article for K-pop group CHECKMATE please go here:체크메이트):

1.) CHECKMATE (Hangul: 체크메이트)  is a South Korean co-ed group under GRACE COMPANY Entertainment. The group consist of 4 members: Sieun, Suri, Yongseok, and Noah. They debuted on September 21, 2020 with the single DRUM as a 5 member group that had Nason as part of the lineup. Nason left the group in November 2020 and was replaced by Haechang. Read more on Last.fm",17442,154633,Limitless
0f16ba6c-1874-42b9-b7a6-e060c2be454e,SAINt JHN,"In the words of SAINt JHN:

""Nobody needs to write a bio for me. This is stupid. My name is SAINt JHN, that's my real name, it's spelled a little different tho. I'm from Brooklyn, I spent half of my childhood growing up in Georgetown, Guyana. I was dirt poor in Brooklyn and some version of rich in Guyana, because apparently 2 nickles can buy you a sports car in a 3rd world country. Who knew?! I'm from a SUPER Christian household where my mom forced us to go to every church imaginable, EVERY, SINGLE, WEEK! I hated it. Read more on Last.fm",966598,21251630,6LACK
3b4b37c1-e8db-471b-99bd-e2a184869ac9,Jaloner, Read more on Last.fm,4241,140017,Santiuve
8032cf05-d916-4b2a-9c53-6e75d4a24bd8,Trippie Redd,"Michael Lamar White II (born June 18, 1999) professionally known as Trippie Redd, is an American rapper, singer, and songwriter from Canton, Ohio. He is known for contributing to the development of emo rap and rage, a subgenre of trap music.

Trippie Redd released his debut mixtape, ""A Love Letter to You"" (2017), through 10K Projects, which entered the Billboard 200. Its lead single, ""Love Scars,"" was certified double platinum by the Recording Industry Association of America. Read more on Last.fm",1859419,183773536,Lil Uzi Vert
f61c7cf5-bc99-4f80-ac9f-512c42bcbd8e,Side,"There are multiple artists called Side:

1)  Side were established in 2003 and working in the desert city of Beer-Sheva, in the south of Israel. The band’s music combines innovative electronic elements and warm harmonic rock sounds.

Side has seven members, including a bass guitarist, a drummer, two electric guitarists, an analog keyboard and laptop operator, another keyboard player who uses a synthesizer and operates special effects, and a soundman who also plays guitar. All band members sing backing vocals along with the lead vocalist. Read more on Last.fm",4196,16788,Mirko Grozny
3a8e388d-5e95-45d7-b1ab-52085cd2a17b,Mr. 2-17, Read more on Last.fm,1888,10478,Mr.2-17
cfebec9a-2042-45b2-9242-1b2275efc3f0,Dada,"There are at least six artists that use the name Dada: a '90s USA rock band, an English dance artist named Matti Schwartz, a '70s Japanese electronic band, and a short-lived Jazz-fusion band in 1970, MC/producer and Lithuanian rapper/

(1) Dada - USA rock band:
 
In 1992, Dada exploded on the scene with their critically acclaimed debut release Puzzle on Miles Copeland’s now defunct IRS Records. The single ""Dizz Knee Land"" set the alternative radio movement - just then hitting its stride - on fire Read more on Last.fm",94321,921343,Toad The Wet Sprocket
5f583334-3bd2-47e5-a712-fc9019761878,Hielo Beats, Read more on Last.fm,1248,11807,Charlie Hijos Bastardos
6b914bcc-0f3d-4443-8310-1e26ab07a236,ACRU, Read more on Last.fm,37065,1194295,Kamada
d2ad8774-9173-4970-8427-06b04df201c1,Venom,"Venom is an English heavy metal band formed in 1978 in Newcastle upon Tyne. Coming to prominence towards the end of the new wave of British heavy metal, Venom's first two albums—Welcome to Hell (1981) and Black Metal (1982)—are considered a major influence on thrash metal and extreme metal in general. Venom's second album proved influential enough that its title was used as the name of the extreme metal subgenre of black metal. However, Venom's later discography remained speed/thrash metal Read more on Last.fm",488122,16966859,Hellhammer
48262e82-db9f-4a92-b650-dfef979b73ec,Future,"Nayvadius DeMun Cash (born Nayvadius DeMun Wilburn), better known by his stage name Future, is an American rapper, singer, songwriter, and record producer from the Kirkwood neighborhood of Atlanta, Georgia.

After releasing a series of moderately successful mixtapes between 2010 and 2011, Future signed a major label deal with Epic Records and fellow American rapper Rocko's A1 Recordings, which helped launch his label imprint Freebandz. Future subsequently began working on his debut studio album Read more on Last.fm",3171840,449794315,Young Thug
a98827ce-0484-4ae5-a1f1-8e7750c087e4,Jay Romero, Read more on Last.fm,4908,40445,Neto Peña
7a9ba401-50d8-4383-9012-be201d58766f,Smoke,"There are many artists performing under the name Smoke. 


1) A widely acclaimed band from Atlanta, USA. During their brief existence the band never rose above local cult status, but following lead singer/writer Benjamin’s death in 1999 critical appreciation of the band grew substantially. The band enjoyed the vocal support of rock luminaries such as Patti Smith and Michael Stipe. Following his death Benjamin was the subject of an award winning documentary “Benjamin Smoke” which chilling profiled the tortured life of the artist. Read more on Last.fm",59708,416098,Nebula
9689aa5a-4471-4fb4-9721-07cecda0fa9f,A Tribe Called Quest,"A Tribe Called Quest was an American hip-hop group formed in St. Albans, Queens, New York, in 1985, originally composed of rapper and main producer Q-Tip, rapper Phife Dawg, DJ and co-producer Ali Shaheed Muhammad, and rapper Jarobi White. The group is regarded as a pioneer of alternative hip hop music.

In 1991, the group released its jazz-influenced second album, The Low End Theory, regarded for helping shape alternative hip hop in the 1990s. In 1998 Read more on Last.fm",2447402,109688865,De La Soul
